,names_2,link_CU,research_interest,pernames,subfaculty,faculty
297,Messaoud Saidani,https://pureportal.coventry.ac.uk/en/persons/messaoud-saidani,"Research Interests: Structural engineering 
; Construction management
; Novel engineering materials; Steel and concrete structures; Disaster and risk management
; Health and safety in construction
; Sustainability and low carbon construction
; Disaster relief and development engineering",Messaoud Saidani,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
298,Hardip Sandhu,https://pureportal.coventry.ac.uk/en/persons/hardip-sandhu,"Research Interests: MicroRNA biomarkers

; Early detection of drug-induced cardiotoxicity 
; Insulin resistance in women with Polycystic Ovarian Syndrome; Polycystic Ovarian Syndrome associated diabetes and cardiovascular diseases; Drug safety, validation and optimisation using in vitro disease models mimicking in vivo pathways",Hardip Sandhu,"Faculty Research Centre for Sport, Exercise and Life Sciences",Faculty of Health & Life Sciences
299,"Sukanlaya Sawang, SFHEA",https://pureportal.coventry.ac.uk/en/persons/sukanlaya-sawang,"Research Interests: Sukanlaya’s research primarily focuses on psychology aspects of small business/entrepreneurship and innovation management. She has an extensive array of quality research publications in this area (including cross-cultural studies), experience in managing large research grants, and a strong collaborative research background with scholars from Asia-Pacific countries. ","Sukanlaya Sawang, SFHEA",Faculty Research Centre for Business in Society,Faculty of Business & Law
300,Lopamudra Saxena,https://pureportal.coventry.ac.uk/en/persons/lopamudra-saxena,Research Interests: Environment and Development; Social Enterprises; Social Supermarkets; Sustainable Food Systems; Community Self-organisation for Resilience; Gender and Development; Social/Women entrepreneurship; Participatory action-research,,,
301,Ulrich Schmutz,https://pureportal.coventry.ac.uk/en/persons/ulrich-schmutz,"Research Interests: Urban agroecology; Ecological economics; Health and wellbeing of gardening; Social and ecological return on investment; Resilience, sustainability and standards of food systems; Organic horticulture, greenhouse temperate and tropical fruit crops",,,
302,Steve Scott,https://pureportal.coventry.ac.uk/en/persons/steve-scott,Research Interests: Human Factors,Steve Scott,"School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing"
303,Harjit Sekhon,https://pureportal.coventry.ac.uk/en/persons/harjit-sekhon,Research Interests: The broad area of service management/marketing,Harjit Sekhon,Faculty Research Centre for Business in Society,Faculty of Business & Law
304,Martin Selby,https://pureportal.coventry.ac.uk/en/persons/martin-selby,"Research Interests: Student mobility, international education, place marketing, place image, and urban tourism.
Published range of journal articles, book chapters, and conference proceedings.
Published sole-authored book entitled ‘Understanding Urban Tourism’.
Founding member of several consultancy groups, leading a wide range of projects, particularly in place marketing and economic development.",Martin Selby,School of Marketing and Management,Faculty of Business & Law
305,Patricia Sellick,https://pureportal.coventry.ac.uk/en/persons/patricia-sellick,Research Interests: Nonviolence and conflict transformation,,,
306,Benoit Senaux,https://pureportal.coventry.ac.uk/en/persons/benoit-senaux,Research Interests: Governance; Sport Management; Management control; Institutional change	; Performance management,Benoit Senaux,Faculty Research Centre for Business in Society,Faculty of Business & Law
307,Ezechiel Sentama,https://pureportal.coventry.ac.uk/en/persons/ezechiel-sentama,"Research Interests: My research interests focus mainly on peacebuilding, transitional justice, forgiveness and reconciliation, with a particular application on vulnerable people and the Global South.  ",,,
308,"Dimitris , Jim Serenis",https://pureportal.coventry.ac.uk/en/persons/dimitris-jim-serenis,"Research Interests: Tourism; Econometrics; Economic, financial and monetary integration; Exchange rates and international monetary systems","Dimitris , Jim Serenis","School of Economics, Finance and Accounting",Faculty of Business & Law
309,Sarah Serjeant,https://pureportal.coventry.ac.uk/en/persons/sarah-serjeant,"Research Interests: Meta-synthesis, Dietetics, person-centred care",Sarah Serjeant,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
310,Huma Shah,https://pureportal.coventry.ac.uk/en/persons/huma-shah,"Research Interests: Artificial Intelligence and Trust. Social Robotics. Digital trust. Digital Identity. Turing test. Deception-detection. Natural language understanding. Voice-activated devices. Chatbots. Conversational commerce. Human and machine intelligence. Human-computer interaction. Social, legal and ethical issues in STEM. Gender in STEM.",Huma Shah,Faculty Research Centre for Data Science,"Faculty of Engineering, Environment & Computing"
311,Nazaraf Shah,https://pureportal.coventry.ac.uk/en/persons/nazaraf-shah,"Research Interests: Ethical Hacking and Information Security; Application of ICT in Energy Management Systems; Design and implementation of secure web-based enterprise application using Agent and Web Services Technologies; Fundamental research and empirical analysis in the area of distributed network computing, especially multi-agent systems (MAS); Endowing autonomous agents with the ability to detect and diagnose exceptions in a cooperative manner and developing techniques for diagnosing and handling runtime exceptions in open MAS where agents belong to different organisations",Nazaraf Shah,"School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing"
312,Ayesha Shahid,https://pureportal.coventry.ac.uk/en/persons/ayesha-shahid,"Research Interests: International Human Rights Law, Islamic Law, Gender and the Law
PhD Supervisions as First Supervisor(DOS) and Second Supervisor
Abdullah Al Mutairi (2017) Protecting the Rights of Foreign LowSkilled Workers in Saudi Arabia: A Case for Law reform
Humaid Al Bannai (2018) Combating Trafficking of Women in the United Arab Emerates: A Critical Analysis of UAE's Legal Response in the Context of International Law
Sharmin Chaudary Hamvas (2017)The Race Equality Directive is it effective in ensuring the Rights of Roma Community : A case study of Hungary
Ali Al Matroushi A (2018) ACritical Evaluation of combating Child Sexual Abuse in the UAE and the limitations of International Law
Wilson Diriwari((2016) Efficacy of the Legal Frameworks for Child Protection in Nigeria
Currently Supervising
Mahmood Masoud Freedom of Speech and Islam: Is there a Possibility of Reconciliation between Islamic and Human Rights Law?
Aminu Abbass, Soverign Debt Condition and people's Right to Self Determination
Oluwatobiloba Oyefeso, Child Corporal Punishments; A Case Study of Nigeria
Recent Research Projects

2017-2020:  Co Organiser of the Asian Yearbook's three Intrnational conferences.Brill-Nijhoff(£1500), BIICL(£8000) and internal grant(£9,500) 

2018-2019: Co-Researcher, To Register or Not to Register: Muslim Marriage perceptions in the UK, University of Warwick.(£3500) 

2017-2019: National Consultant and Member Working Group on Child Law in Muslim Countries Second Project: Establishing Filiation: Towards a social definition of the family in Islamic and Middle Eastern Law? (£1000)

2015-2017: National CoOrdinator,‘Best Interest of the Child Principle in Custody and Guardianship Cases in Muslim Countries’ Project, Max Planck Institute International and Comparative Family Law, Hamburg, Germany.(£1000)

2016-2017: International Research Fellow Max Planck Institute for Comparative and Private International Law(£3,600)

2014- 2015: “Islamic Law and Human Rights” Oxford University Annotated Bibliography for International Law section, Oxford Annotated Online Bibliographies.(£1000)                       

2010 to 2011: Research Project, ‘Filipino Domestic Workers in Pakistan’ funded by Sir Philip Reckitt Educational Trust.(£300)

 External Positions
External PhD Examiner, University of Hull
External PhD Examiner, University of Hertfordshire
External Examiner Taught Programmes, University of Sussex
External Supervisor, University of Aberdeen
International Research Fellow, Max Planck Institute of Comparative and Private International Law 
 
 ",Ayesha Shahid,School of Law,Faculty of Business & Law
313,Seyed Shariatipour,https://pureportal.coventry.ac.uk/en/persons/seyed-shariati-pour,Research Interests: Reservoir simulation; Fluid flow in porous media; CO2 enhanced oil recovery (EOR) and caprock integrity; CO2 storage in saline aquifers and depleted oil and gas reservoirs,Seyed Shariatipour,Faculty Research Centre in Fluid and Complex Systems,"Faculty of Engineering, Environment & Computing"
314,Sara Sharifzadeh,https://pureportal.coventry.ac.uk/en/persons/sara-sharifzadeh,"Research Interests: Signal, image and video analysisMultivariate data analysisMachine learningArtificial Intelligence (AI)Spectral signal/image analysis3D point cloud data analysisRoboticsEmbedded systems
 ",Sara Sharifzadeh,Faculty Research Centre for Data Science,"Faculty of Engineering, Environment & Computing"
315,Farooq Sher,https://pureportal.coventry.ac.uk/en/persons/sher-f,"Research Interests: Dr. Farooq Sher current research overviews the diverse range of approaches and technologies to minimise emissions of carbon dioxide (CO2) a greenhouse gas from the use of fossil fuels (coal, oil and gas). It also includes developing technologies to remove carbon dioxide from the flue gases of power plants and chimneys, as well as burn the fuels in pure oxygen (Oxy-fuel), which results in a flue gas that consists entirely of carbon dioxide and water vapours that can be captured relatively easily and can be stored safely in repositories deep underground. Moreover, Dr. Sher is working towards sustainable energy, environment, climate change and low carbon technologies. His main interests are in the conversion of renewable sources such as biomass, solar, wind and hydro into heat and power including their impact on the environment and climate change. Dr. Sher is also studying the combustion behaviour of different fossil fuels to get a better understanding of their environmental impacts. His expertises are in energy, heat and mass transfer operations, fluid mixing, distillation, energy optimisation, wastewater treatment, hydrogen production, fluidised bed combustion (FBC), life cycle assessment (LCA), oxy-fuel combustion, carbon capture and storage (CCS) and computational fluid dynamics (CFD) modelling.
Area of Expertise
Clean energy from fossil fuels; coal, oil and gasRenewable energy generation from biomass, solar and hydroHydrogen gas production Waste to energy conversionCoal and biomass combustion/ gasificationLife cycle assessmentCarbon capture and storageWastewater treatmentSynthesis of nanomaterialsCFD modelling
Research Projects
Integrated electrochemical process for CO2 capture and utilisation in oil and gas sectorSolid-liquid waste management during oil and gas decommissioning processNumerical simulation study of carbon dioxide injection to enhance the oil recovery from undersea deep reservoirsOptimisation study of microbial enhanced oil recovery processesModelling and optimisation of biomass oxy-fuel combustion in a fluidised bedsSustainable biomaterials for CO2 capture, conversion and utilisation applicationsLife cycle assessment of pulverised coal-fired power plant with CCS technology in the UKThe potential environmental impacts from the shale oil and gas development ",Farooq Sher,Institute for Future Transport and Cities,"Faculty of Engineering, Environment & Computing"
316,Abdussalam Shibani,https://pureportal.coventry.ac.uk/en/persons/abdussalam-shibani,"Research Interests: Benchmarking; Quality Circles
; Balanced Scorecards; Just-in-time (JIT)
; Project Management
; Six Sigma Implementation; World Class Manufacturing; Supply Chain Management (SCM)
; Total Quality Management (TQM)
; Enterprise Resources Planning (ERP); International Operations Management; Materials Requirement Planning (MRPI)
; Advanced Manufacturing Technology (AMT); Manufacturing Resources Planning (MRPII)
; Construction productivity and performance
; Empowerment within construction supply chain
; Construction project performance interaction",Abdussalam Shibani,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
317,James Shippen,https://pureportal.coventry.ac.uk/en/persons/james-shippen,Research Interests: The development and validation of biomechanical analysis and the introduction of neural control into the musculoskeletal model,,,
318,Ashish Shukla,https://pureportal.coventry.ac.uk/en/persons/ashish-shukla,Research Interests: Energy management; Energy-exergy analysis; Ground heat exchangers; Solar thermal engineering; Thermal/mathematical modelling; Energy generating building envelopes,Ashish Shukla,Faculty Research Centre for Built & Natural Environment,"Faculty of Engineering, Environment & Computing"
319,Juliet Simpson,https://pureportal.coventry.ac.uk/en/persons/juliet-simpson,"Research Interests: Professor Juliet Simpson is an internationally-recognized expert in art and visual cultures of the long nineteenth century and twentieth centuries. Her research, teaching and curatorial interests focus on how perceptions and meanings of art shape national and transnational cultural identities and values. She has published and lectured widely on fin-de-siècle art and cosmopolitan artistic exchange, French art and art criticism of the long nineteenth and early twentieth centuries, spaces of display, Decadent visual and literary cultures, art and memory, reception of medieval art and capitals of art. Prof Simpson's current work explores how we image, retrieve and reinvent personal and collective cultural memory, via objects, texts, sites and monuments, and on the reception and reinvention of Northern Gothic and Renaissance visual cultures, including in collections, receptions, via displays and transnational recreations in modern and contemporary art. Professor Simpson is also Director of the Lanchester Research Gallery, Coventry University. International awards and major collaborations include: as Visiting Professor of Art History and Cultural Memory, University of Amsterdam, Visiting Scholar (in conjunction with a Leverhulme Research Fellowship), Wolfson College, University of Oxford. She is Academic Advisor, Department of Art, Philosophy and Cultural Heritage at the Freie University, Berlin, Principal Advisory Partner, British Council, Venice Biennale Fellowships Programme; a Fellow of the Royal Society of Arts. Professor Simpson Chairs an international research project on reception and identities of Northern Gothic art in the long nineteenth century. She is currently curating the international exhibition, 'Gothic Modern: Munch to Kollwitz' as Senior Guest Curator, and Principal Project Lead with the Berlin Alte Nationalgalerie-Finnish National Gallery-Ateneum and international museum partners for an international touring exhibition, 2023-24 and ",Juliet Simpson,"Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities
320,Gurnam Singh,https://pureportal.coventry.ac.uk/en/persons/gurnam-singh-2,Research Interests: Emancipatory research and practice; decolonising pedagogy; anti-racist practice; race equality in higher education and social work; understanding and tackling hate. ,,,
321,Kamalpreet Singh,https://pureportal.coventry.ac.uk/en/persons/kamalpreet-singh,"Research Interests: Consumer Behaviour, Digital marketing, Strategic Marketing, Marketing management",Kamalpreet Singh,Faculty Research Centre for Business in Society,Faculty of Business & Law
322,Paul Sissons,https://pureportal.coventry.ac.uk/en/persons/paul-sissons,Research Interests: Skills policy; Labour markets; Welfare reform; Local and regional economic development,Paul Sissons,Faculty Research Centre for Business in Society,Faculty of Business & Law
323,Glykeria Skamagki,https://pureportal.coventry.ac.uk/en/persons/glykeria-skamagki,"Research Interests: Occupational health and ergonomicsE-Learning and educationPublic health, prevention and wellbeingSports rehabilitation and musculoskeletal disordersMixed methods research",Glykeria Skamagki,"School of Nursing, Midwifery and Health",Faculty of Health & Life Sciences
324,Emma Sleath,https://pureportal.coventry.ac.uk/en/persons/emma-sleath-3,"Research Interests: Revenge pornography and non-consensual sharing of private sexual media; Criminal justice response to victims of crime including intimate partner violence and rape; The use of stereotypes (e.g., rape myths) and their impact; Perception of victims of crime (focusing on rape and stalking) including blame attributions and credibility assessments",Emma Sleath,Faculty of Health & Life Sciences,Faculty of Health & Life Sciences
325,Simon Smith,https://pureportal.coventry.ac.uk/en/persons/simon-smith,"Research Interests: Corpus query tools ; Computational linguistics; Chinese teaching and learning ; English for Academic Purposes (EAP) ; Data-driven language learning (DDL) ; Corpora in language teaching and learning ; Computer assisted language learning (CALL)
I am a member of two research groups: Corpus Linguistics at Coventry (CLaC) and Centre for Global Learning: Education and Attainment (GLEA). In GLEA, I will be focusing on international telecollaborative (OIL) projects involving students of English academic writing in an approach called Stimulus Writing. Also I will be working on a Chinese version of Sketch Engine for Language Learning, a significant corpus-based platform available for the study of English and other languages. This will involve the development of an adaptive, learner-friendly segmenter for Chinese. I am preparing an application to EPSRC for this work.",Simon Smith,School of Humanities,Faculty of Arts & Humanities
326,Niall Smyth,https://pureportal.coventry.ac.uk/en/persons/niall-smyth,Research Interests: Residual stress; Advanced materials; Finite element analysis; Fatigue and fracture analysis; Structural integrity and failure,,,
327,Andre Soares,https://pureportal.coventry.ac.uk/en/persons/andre-soares,Research Interests: Team dynamics; Shared mental models; Social Network Analysis; Organisational Behaviour; Interpersonal relationships,Andre Soares,"School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences
328,Wei Song,https://pureportal.coventry.ac.uk/en/persons/wei-song,"Research Interests: Exchange rate and currency union; Economic, financial and monetary integration in Asia; World currency",Wei Song,"School of Economics, Finance and Accounting",Faculty of Business & Law
329,Katerina Stamou,https://pureportal.coventry.ac.uk/en/persons/katerina-stamou,"Research Interests:  FEA applicationsAerospace Design, Aerospace Engineering and Optimization StudiesCFD applications
Biomechanics (Finite Element Modelling)
        Modelling the response of ligaments and bones to rupture
Bioengineering (Lattice Boltzmann Modelling)
       Cardiovascular modelling and simulation of hemodynamics 
 Medical Imaging
       Imaging analysis of micro-CT images
  Automotive Engineering
       Modelling Automotive applications 
Materials Engineering Cambridge Engineering Selection (CES) studies in Material Selection, Processes Selection in manufacturing technology applicationsMaterials TestingLife Cycle Assessment
",Katerina Stamou,"School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing"
330,Kathryn Stamp,https://pureportal.coventry.ac.uk/en/persons/kathryn-stamp,"Research Interests: Kathryn's research interests span inclusive dance, dance in education and exploring the value and impact of dance. The current focus of her AHRC-funded PhD research is on photography-based interventions located within the intersection between dance and disability, following on from an evaluation of People Dancing’s '11 Million Reasons to Dance’ project. ",Kathryn Stamp,Faculty Research Centre for Dance Research (CDaRE),Faculty of Arts & Humanities
331,Ben Stanford,https://pureportal.coventry.ac.uk/en/persons/ben-stanford,Research Interests: Socio-legal research; International human rights law; Rights of political participation and democracy; International criminal justice; Terrorism and counter-terrorism; Legal responses to human rights violations,Ben Stanford,School of Law,Faculty of Business & Law
332,Michelle Stanley,https://pureportal.coventry.ac.uk/en/persons/michelle-stanley,Research Interests: Michelle is a full time lecturer in sports therapy at Coventry University. She is a member of The Society of Sports Therapists and regularly undertakes clinical practice within the sports therapy clinic at Coventry University. Michelle has completed an MSc in strength and conditioning and has delivered pre athlete testing and strength and conditioning to the West Midlands Beacon swimmers. Currently she is completing a PhD part time focusing on the exploration and risk reduction strategies in young people on school ski trips. She has had peer reviewed journals published within the field of functional movement in primary school children and presented at international conferences.,Michelle Stanley,School of Life Sciences,Faculty of Health & Life Sciences
333,Thomas Statheros,https://pureportal.coventry.ac.uk/en/persons/thomas-statheros,"Research Interests: Autonomous Systems Design, Unmanned Aerial Systems (UAS) and Vehicles, Avionics Systems Design, Autopilot Design, Autonomous Navigation, Collision Avoidance, Real-time Path Planning, Swarms, Local Positioning, Control, Embedded Systems, Sensors, Data Fusion, Software and Hardware Design, Artificial Intelligence (AI), Image Processing, Pattern Recognition. Also, Avionics Safety-Critical Systems, as well as Renewable Energy Systems.",Thomas Statheros,Institute for Future Transport and Cities,"Faculty of Engineering, Environment & Computing"
334,Katrien Steenmans,https://pureportal.coventry.ac.uk/en/persons/katrien-steenmans,Research Interests: EU environmental law; waste law; law and the circular economy; blockchain technology and governance; climate finance law; property rights in waste; property rights for promoting transitions towards circular economies; industrial symbiosis,Katrien Steenmans,School of Law,Faculty of Business & Law
335,"Kev Stone, JP",https://pureportal.coventry.ac.uk/en/persons/kev-stone,"Research Interests: Current Research Studies
Decisions on risk and mental health hospital admission by Approved Mental Health Professionals.The views of Approved Mental Health Professionals towards the Nearest Relative role under the Mental Health Act 1983Experiences of the Nearest Relative under the Mental Health Act 1983(2007) and the Implications for Approved Mental Health Practice.Approved Clinicians / Responsible Clinicians changing medical roles
 
Editor of 'The International Journal of Mental Health and Capacity Law' https://www.northumbriajournals.co.uk/index.php/IJMHMCL/about/editorialTeam
 
Chair of the Mental Health Social Work Special Interest Group
https://www.eswra.org/mh_sig.php  
 
UWE Early Career Researchers Award 2017
https://orcid.org/0000-0001-9842-7755
 
Authored books
The Approved Mental Health Professional Practice Handbook, Policy Press Bristol
 
The Best Interest Assessors Practice Handbook, Policy Press Bristol.","Kev Stone, JP","School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences
336,Allen Stroud,https://pureportal.coventry.ac.uk/en/persons/allen-stroud,"Research Interests: Allen's research interests focus around Fantasy, Science Fiction and Horror, with a focus on print outputs, film, television, audio and games. A particular focus in looking at mythology and mythic construction as well as the referential qualities of each genre.
Allen is a practice based researcher, applying critical writing to his creative outputs.",Allen Stroud,School of Media and Performing Arts,Faculty of Arts & Humanities
337,Damian Sutton,https://pureportal.coventry.ac.uk/en/persons/damian-sutton,"Research Interests: Time and memory: My principal work has explored the potential for a new philosophy of time and memory in the photograph, based on the work of Gilles Deleuze and Henri Bergson. 
Photography – portraiture, authorship, process: Here I explore creative decision-making, tacit knowledge and authorship in photography practice and reception. This has developed into twin projects – one looking at the masculinization of humanist photography, and another exploring our relationship to the photographic portrait before and after digital through the philosophy of Kant and Levinas.
Creativity in cinema production: After developing an undergraduate short course on cinema design, I began to explore creative decision-making in the film industry. This research focused on production design and design-led approaches to creative industry studies, which was funded by the AHRC to conduct a project – ‘Form Follows Fiction’ – on design decisions in 1930s Hollywood, specifically the Fred Astaire-Ginger Rogers musical series.
I am also interested in research collaborations on the following topics: mobility and the flâneur; Christmas and popular culture; ethics in art and design practice. I would welcome enquiries seeking to work together in any of the above areas.
 
 ",Damian Sutton,"Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities
338,Abdi Rahmat Syam,https://pureportal.coventry.ac.uk/en/persons/abdi-rahmat-syam,Research Interests: English as a Lingua Franca| Indonesian Accented English| Speech Intelligibility| Pronunciation teaching| Phonetics and Phonology| TESOL,Abdi Rahmat Syam,"Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities
339,Ala Szczepura,https://pureportal.coventry.ac.uk/en/persons/ala-szczepura,"Research Interests: Health technology assessment, emerging technological innovations, policy research",Ala Szczepura,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
340,Naznin Tabassum,https://pureportal.coventry.ac.uk/en/persons/naznin-tabassum,"Research Interests: Naznin Tabassum has published journal articles and conference papers in peer-reviewed journals and internationally recognised conferences. She is an active reviewer of journals and conferences. Research interest dwells in the existence of Think Manager-Think Male phenomenon. I am interested in the research area of Gender, Work and Employment, Gender Stereotyping, Glass Ceiling, Leadership, Moderate Feminism, Resilience, Power and Class.",Naznin Tabassum,School of Strategy and Leadership,Faculty of Business & Law
341,Miho Taka,https://pureportal.coventry.ac.uk/en/persons/miho-taka,"Research Interests: Sub-Saharan Africa; Extractive industry; Business and human rights; Natural resource governance; Multi-stakeholder processes; Corporate social responsibility; Peace, conflict and sustainable development",,,
342,Doug Thake,https://pureportal.coventry.ac.uk/en/persons/doug-thake,Research Interests: Applied Human Physiology; Altitude; Heat; Cross Acclimation; Occupational Physiology,Doug Thake,"Faculty Research Centre for Sport, Exercise and Life Sciences",Faculty of Health & Life Sciences
343,Chuck Thiessen,https://pureportal.coventry.ac.uk/en/persons/chuck-thiessen,Research Interests: Post-war international development and peacebuilding interventions; conflict and development; statebuilding; the prevention of violent extremism; international norms and civil society; local ownership; international organizations; and international conflict resolution and analysis.,,,
344,Anthony Thompson,https://pureportal.coventry.ac.uk/en/persons/anthony-thompson,Research Interests: Entrepreneurship; Team role preferences; Individual differences; Workplace physical activity promotion; Effectiveness of BCT taxonomy behaviour change techniques in workplace interventions,Anthony Thompson,"School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences
345,Alexander Thomson,https://pureportal.coventry.ac.uk/en/persons/alexander-thomson,Research Interests: Apartheid; Peacebuilding; Conflict resolution; Transitional justice; Conflict transformation; Peace and reconcilliation,Alexander Thomson,School of Humanities,Faculty of Arts & Humanities
346,Pattanapong Tiwasing,https://pureportal.coventry.ac.uk/en/persons/pattanapong-tiwasing,"Research Interests: 
My research interests lie in:- Rural Enterprise,- Small Business Economics,- Food and Nutrition Security,- Agricultural Economics,- Food and Agricultural Marketing,- Spatial Disparities in SME Productivity,- The Economics of Entrepreneurship,- Innovation and SME productivity,- Agricultural Household Models,- Data Analysis.
",Pattanapong Tiwasing,Faculty Research Centre for Business in Society,Faculty of Business & Law
347,Andrew Tomlinson,https://pureportal.coventry.ac.uk/en/persons/andrew-tomlinson,"Research Interests: Application of data analytics and machine learning, such as for automotive cybersecurity or medical research.",,,
348,Waseem Toraubally,https://pureportal.coventry.ac.uk/en/persons/waseem-toraubally,Research Interests: Microeconomics; International Trade; Industrial Organisation; Game Theory; Mathematical Economics,Waseem Toraubally,"School of Economics, Finance and Accounting",Faculty of Business & Law
349,Chiara Tornaghi,https://pureportal.coventry.ac.uk/en/persons/chiara-tornaghi,Research Interests: Scholar-activism; Political ecology; Politics of space; Grassroots pedagogy; Resource sovereignty; Alternative urbanism; Re-building the Commons; Socio-environmental justice,,,
350,Erdal Turkbeyler,https://pureportal.coventry.ac.uk/en/persons/erdal-turkbeyler,Research Interests: Computational fluid dynamics; Multiphase flow in Oil and Gas; Multiphase flow-meters; Modelling urban microclimates; Renewable energy technologies; Simulation of thermal environments; APU systems for hybrid vehicles; Numerical modelling and simulation of thermofluid systems; Turbomachinery aerodynamics.,Erdal Turkbeyler,"School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing"
351,Andy Turner,https://pureportal.coventry.ac.uk/en/persons/andy-turner,"Research Interests: Self-management, long-term conditions, health psychology, lifestyle interventions living with or affected by cancer, dementia, MS, mental health conditions and autism, chronic disease",Andy Turner,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
352,Edward Turner,https://pureportal.coventry.ac.uk/en/persons/edward-turner,Research Interests: Branding; Strategy	; Private equity; Grounded theory; Marketing strategy; Simulation based learning,Edward Turner,School of Marketing and Management,Faculty of Business & Law
353,Mark Turner,https://pureportal.coventry.ac.uk/en/persons/mark-turner,Research Interests: My interest in metabolic disease has given me the opportunity to work with a variety of cell and tissue types. I have conducted experiments using hepatocytes and I have developed an interest in the metabolic crosstalk between the liver and skeletal muscle.,Mark Turner,"Faculty Research Centre for Sport, Exercise and Life Sciences",Faculty of Health & Life Sciences
354,Julia Tyrrell,https://pureportal.coventry.ac.uk/en/persons/julia-tyrrell,Research Interests: Marketing Communications; Cross-cultural marketing; Marketing Ethics.,Julia Tyrrell,School of Marketing and Management,Faculty of Business & Law
355,Donna Udall,https://pureportal.coventry.ac.uk/en/persons/donna-udall,Research Interests: Biochar; Soil Science; Anaerobic digestate; Agriculture and farming,,,
356,Hafij Ullah,https://pureportal.coventry.ac.uk/en/persons/hafij-ullah,"Research Interests: ·        Social and environmental accounting and reporting 
·        Pollutant accounting, reporting and accountability
·        Corporate social responsibility and sustainability
·        Islamic accounting, Islamic banking and shari’ah governance",Hafij Ullah,"School of Economics, Finance and Accounting",Faculty of Business & Law
357,Gerry Urwin,https://pureportal.coventry.ac.uk/en/persons/gerry-urwin,"Research Interests: Gerry's current research activity centres in Strategic Management, with overlapping streams focusing on Innovative Business Models; Knowledge Management; and Micro Strategy in the Small Charity Sector. 
In recent years funded research projects have included two in the Health and Assisted Living Technology sector. Research interest focuses largely on strategy and leadership, and knowledge transfer in sport, particularly relating to major sporting events.
Gerry earlier took the lead role in establishing the Applied Research Group in Business Process Innovation. Funding of over £400,000 was won, including completing research projects for JISC, The Learning Skills Council and the UHCW NHS Trust. More recently Gerry worked with colleagues in the Health, Design, and Technology Institute (HDTI) as Work Package Leader for two major projects, the EU funded CIP DISCOVER project (€3,806,000), and the TSB funded COMODAL project (£750,000).",Gerry Urwin,School of Strategy and Leadership,Faculty of Business & Law
358,Valerie van Mulukom,https://pureportal.coventry.ac.uk/en/persons/valerie-van-mulukom,Research Interests: Belief; Cognitive science of religion; Imagination; Episodic memory; Creativity; Unbelief; Secular beliefs; Worldviews; Intuition; Social bonding,,,
359,Holly Vass,https://pureportal.coventry.ac.uk/en/persons/holly-vass,"Research Interests: Legal English, Forensic Linguistics, Corpus Linguistics",Holly Vass,School of Humanities,Faculty of Arts & Humanities
360,Yuri Vershinin,https://pureportal.coventry.ac.uk/en/persons/yuri-vershinin,"Research Interests: Intelligent Transport Systems, autonomous and connected cars, Smart Cities, Global Navigation Satellite Systems (GNSS): GPS (USA), GLONASS (Russian Federation), BeiDou (China),  QZSS (Japan) and Galileo (EU), control engineering, instrumentation, electronics and software design, systems identification, Kalman filters, sensor fusion, telecommunication systems, security of data transmission, medical telemetry, web-based laboratory, cooperative online learning, remote diagnostics and prognostics of industrial and domestic systems. 
   
-          Accepting PhD Students in above and related areas.
 
 
 ",Yuri Vershinin,"School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing"
361,Benet Vincent,https://pureportal.coventry.ac.uk/en/persons/benet-vincent,Research Interests: Translation; Modal meaning; Corpus Linguistics; Vocabulary learning; English for Academic Purposes,Benet Vincent,"Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities
362,Shruti Vispute,https://pureportal.coventry.ac.uk/en/persons/shruti-vispute,"Research Interests: Social movements around water
Water in politics of development 
Women and water justice ",,,
363,Emma Waight,https://pureportal.coventry.ac.uk/en/persons/emma-waight,"Research Interests: user experience, second-hand retail, ethnography, motherly consumption, cultural geographies.
Research projects:
Doctoral students' experiences of writing as more-than-human: 2020, University of Southampton and University of Surrey.
Enhancing pastoral support for doctoral students (Research Evaluation Officer): 2016, University of Southampton.
Silver Shoppers: designing supermarket environments for customers aged 65+ (Research Fellow): 2014-2015, Winchester School of Art
NCT nearly new sales: second-hand consumption and middle-class mothering (ESRC Doctoral Research): 2011-2014, University of Southampton",Emma Waight,School of Art and Design,Faculty of Arts & Humanities
